adapter,q_type,can_run,input_granularity,probe_input_used,q_types_produced,requires_api_key,api_key_names,requires_broker_credentials,supports_historical_date,supports_current_snapshot,runtime_seconds,failure_reason,skip_reason
agentictrading,Q5,True,backtest-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], start=2026-06-06, end=2026-07-06","adapter,alpha_vs_benchmark,benchmark,calmar,cost_usd,equity_curve,latency_sec,max_drawdown,sharpe,test_period,total_return",True,"ALPACA_API_KEY,ANTHROPIC_API_KEY,COMMONSTACK_API_KEY,DEEPSEEK_API_KEY",False,likely true (static heuristic: date/window-driven data fetch found),True,10.61,,
ai_hedge_fund,Q1,True,ticker-level,"ticker=NVDA, date=2026-07-06","action,adapter,confidence,cost_usd,date,latency_sec,reasoning,ticker,time_horizon",True,DEEPSEEK_API_KEY,False,likely true (static heuristic: date/window-driven data fetch found),True,13.21,,
alphagen,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,expected_return,latency_sec,signal_type,strength,supporting_evidence,ticker",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,99.08,,
atlas,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,expected_return,latency_sec,signal_type,strength,supporting_evidence,ticker",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,26.06,,
deepalpha,Q1,True,ticker-level,"ticker=NVDA, date=2026-07-06","action,adapter,confidence,cost_usd,date,latency_sec,reasoning,ticker,time_horizon",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,12.01,,
deepalpha,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,expected_return,latency_sec,signal_type,strength,supporting_evidence,ticker",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,11.88,,
finclaw,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,expected_return,latency_sec,signal_type,strength,supporting_evidence,ticker",True,OPENAI_API_KEY,False,likely true (static heuristic: date/window-driven data fetch found),True,90.42,,
fingpt,Q2,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,drivers,latency_sec,risk_level,sentiment_score,sources,ticker",True,HF_TOKEN,False,unknown (static heuristic inconclusive),True,79.54,,
finrl,Q4,True,portfolio-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], date=2026-07-06","adapter,cash_ratio,cost_usd,date,latency_sec,rationale,rebalance_freq,regime,weights",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,57.26,,
finrl,Q5,True,backtest-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], start=2026-06-06, end=2026-07-06","adapter,alpha_vs_benchmark,benchmark,calmar,cost_usd,equity_curve,latency_sec,max_drawdown,sharpe,test_period,total_return,train_period,win_rate",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,55.35,,
finrl_x,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,expected_return,latency_sec,signal_type,strength,supporting_evidence,ticker",False,,False,false (static heuristic: docstring/code suggests current-snapshot-only),True,61.21,,
finrl_x,Q4,True,portfolio-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], date=2026-07-06","adapter,cash_ratio,cost_usd,date,latency_sec,rationale,rebalance_freq,regime,weights",False,,False,false (static heuristic: docstring/code suggests current-snapshot-only),True,116.43,,
nofx,Q2,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,drivers,latency_sec,risk_level,sentiment_score,sources,ticker",True,DEEPSEEK_API_KEY,False,likely true (static heuristic: date/window-driven data fetch found),True,30.96,,
prediction_arena,Q2,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,drivers,latency_sec,risk_level,sentiment_score,sources,ticker",True,"DEEPSEEK_API_KEY,METACULUS_TOKEN",False,false (static heuristic: docstring/code suggests current-snapshot-only),True,25.64,,
prediction_arena,Q5,True,backtest-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], start=2026-06-06, end=2026-07-06","adapter,benchmark,cost_usd,equity_curve,latency_sec,max_drawdown,sharpe,test_period,total_return,win_rate",True,"DEEPSEEK_API_KEY,METACULUS_TOKEN",False,false (static heuristic: docstring/code suggests current-snapshot-only),True,13.2,,
qlib,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,expected_return,latency_sec,signal_type,strength,supporting_evidence,ticker",False,,False,likely true (static heuristic: date/window-driven data fetch found),True,19.1,,
rdagent,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,latency_sec,signal_type,strength,supporting_evidence,ticker",True,"DEEPSEEK_API_KEY,OPENAI_API_KEY",False,likely true (static heuristic: date/window-driven data fetch found),True,56.18,,
tradingagents,Q1,True,ticker-level,"ticker=NVDA, date=2026-07-06","action,adapter,bear_case,bull_case,confidence,cost_usd,date,latency_sec,reasoning,ticker,time_horizon",True,DEEPSEEK_API_KEY,False,unknown (static heuristic inconclusive),True,290.18,,
tradingagents,Q2,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,drivers,latency_sec,risk_level,sentiment_score,sources,ticker",True,DEEPSEEK_API_KEY,False,unknown (static heuristic inconclusive),True,274.9,,
vibe_trading,Q3,True,ticker-level,"ticker=NVDA, date=2026-07-06","adapter,cost_usd,date,direction,expected_horizon,latency_sec,signal_type,strength,supporting_evidence,ticker",True,DEEPSEEK_API_KEY,False,likely true (static heuristic: date/window-driven data fetch found),True,29.96,,
vibe_trading,Q4,True,portfolio-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], date=2026-07-06","adapter,cash_ratio,cost_usd,date,latency_sec,rationale,rebalance_freq,weights",True,DEEPSEEK_API_KEY,False,likely true (static heuristic: date/window-driven data fetch found),True,14.68,,
vibe_trading,Q5,True,backtest-level,"tickers=['NVDA', 'SPY', 'QQQ', 'CASH'], start=2026-06-06, end=2026-07-06","adapter,alpha_vs_benchmark,benchmark,calmar,cost_usd,equity_curve,latency_sec,max_drawdown,sharpe,test_period,total_return,win_rate",True,DEEPSEEK_API_KEY,False,likely true (static heuristic: date/window-driven data fetch found),True,14.16,,
