adapter,ticker,date,task_id,evidence_atoms
ai_hedge_fund,AAPL,2026-07-02,comparison_2026-07-02,unknown
ai_hedge_fund,BTC-USD,2026-07-02,comparison_2026-07-02,unknown
ai_hedge_fund,NVDA,2026-07-02,comparison_2026-07-02,unknown
ai_hedge_fund,SPY,2026-07-02,comparison_2026-07-02,unknown
ai_hedge_fund,TSLA,2026-07-02,comparison_2026-07-02,unknown
deepalpha,AAPL,2026-07-02,comparison_2026-07-02,"factor,technical"
deepalpha,BTC-USD,2026-07-02,comparison_2026-07-02,factor
deepalpha,NVDA,2026-07-02,comparison_2026-07-02,"factor,technical"
deepalpha,SPY,2026-07-02,comparison_2026-07-02,"factor,liquidity"
deepalpha,TSLA,2026-07-02,comparison_2026-07-02,"factor,technical"
fingpt,AAPL,2026-07-02,comparison_2026-07-02,unknown
fingpt,BTC-USD,2026-07-02,comparison_2026-07-02,"regime,unknown"
fingpt,NVDA,2026-07-02,comparison_2026-07-02,"sentiment,unknown"
fingpt,SPY,2026-07-02,comparison_2026-07-02,unknown
fingpt,TSLA,2026-07-02,comparison_2026-07-02,unknown
ai_hedge_fund,AAPL,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,GLD,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,JNJ,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,JPM,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,MSFT,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,NVDA,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,QQQ,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,SPY,2026-07-06,observation_batch_day1__2026-07-06,unknown
ai_hedge_fund,TSLA,2026-07-06,observation_batch_day1__2026-07-06,risk
ai_hedge_fund,XOM,2026-07-06,observation_batch_day1__2026-07-06,unknown
alphagen,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,technical"
atlas,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
atlas,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
atlas,JPM,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
atlas,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
atlas,SPY,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
atlas,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
atlas,XOM,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
deepalpha,AAPL,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,GLD,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,JNJ,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,JPM,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,MSFT,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,NVDA,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,QQQ,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,SPY,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,TSLA,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,XOM,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,JPM,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,MSFT,2026-07-06,observation_batch_day1__2026-07-06,factor
deepalpha,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,SPY,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,technical"
deepalpha,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical"
deepalpha,XOM,2026-07-06,observation_batch_day1__2026-07-06,factor
finclaw,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
finclaw,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
finclaw,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
finclaw,JPM,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
finclaw,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,technical,unknown"
finclaw,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,technical,unknown"
finclaw,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"factor,momentum,technical,unknown"
finclaw,SPY,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
finclaw,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
finclaw,XOM,2026-07-06,observation_batch_day1__2026-07-06,"factor,technical,unknown"
fingpt,AAPL,2026-07-06,observation_batch_day1__2026-07-06,unknown
fingpt,GLD,2026-07-06,observation_batch_day1__2026-07-06,"macro,unknown"
fingpt,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
fingpt,JPM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,sentiment,unknown"
fingpt,MSFT,2026-07-06,observation_batch_day1__2026-07-06,unknown
fingpt,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,sentiment,unknown"
fingpt,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,risk,unknown"
fingpt,SPY,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
fingpt,TSLA,2026-07-06,observation_batch_day1__2026-07-06,unknown
fingpt,XOM,2026-07-06,observation_batch_day1__2026-07-06,unknown
finrl_x,AAPL,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,GLD,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,JNJ,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,JPM,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,MSFT,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,NVDA,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,QQQ,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,SPY,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,TSLA,2026-07-06,observation_batch_day1__2026-07-06,factor
finrl_x,XOM,2026-07-06,observation_batch_day1__2026-07-06,factor
nofx,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"factor,momentum,risk,unknown"
nofx,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,macro,momentum,risk,sentiment,technical,unknown"
nofx,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,momentum,risk,technical,unknown"
nofx,JPM,2026-07-06,observation_batch_day1__2026-07-06,"factor,momentum,risk,technical,unknown"
nofx,MSFT,2026-07-06,observation_batch_day1__2026-07-06,unknown
nofx,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"factor,momentum,risk,sentiment,technical,unknown"
nofx,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,momentum,risk,sentiment,technical,unknown,volatility"
nofx,SPY,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,momentum,risk,sentiment,technical,unknown,volatility"
nofx,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"factor,momentum,risk,sentiment,technical,unknown,volatility"
nofx,XOM,2026-07-06,observation_batch_day1__2026-07-06,"factor,momentum,risk,sentiment,technical,unknown"
prediction_arena,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,GLD,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,JPM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,technical,unknown"
prediction_arena,SPY,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
prediction_arena,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,sentiment,unknown"
prediction_arena,XOM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,unknown"
qlib,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,JPM,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,SPY,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
qlib,XOM,2026-07-06,observation_batch_day1__2026-07-06,"factor,unknown"
rdagent,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,valuation,volatility"
rdagent,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,technical,volatility"
rdagent,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,volatility"
rdagent,JPM,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,valuation,volatility"
rdagent,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,volatility"
rdagent,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,technical,volatility"
rdagent,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,volatility"
rdagent,SPY,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,volatility"
rdagent,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,valuation,volatility"
rdagent,XOM,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,momentum,risk,volatility"
tradingagents,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,momentum,risk,sentiment,technical,valuation,volatility"
tradingagents,GLD,2026-07-06,observation_batch_day1__2026-07-06,"factor,liquidity,macro,momentum,regime,risk,sentiment,technical,valuation"
tradingagents,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,macro,momentum,regime,risk,sentiment,technical,valuation"
tradingagents,JPM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,macro,momentum,risk,sentiment,technical,valuation,volatility"
tradingagents,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,macro,momentum,risk,sentiment,technical,valuation"
tradingagents,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,macro,momentum,risk,sentiment,technical,valuation"
tradingagents,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,macro,momentum,risk,sentiment,technical,valuation,volatility"
tradingagents,SPY,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,macro,momentum,risk,sentiment,technical,valuation"
tradingagents,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,liquidity,macro,momentum,risk,sentiment,technical,valuation,volatility"
tradingagents,XOM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,factor,macro,risk,sentiment,technical,valuation,volatility"
tradingagents,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,GLD,2026-07-06,observation_batch_day1__2026-07-06,"macro,sentiment,unknown,valuation"
tradingagents,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,JPM,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,SPY,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
tradingagents,XOM,2026-07-06,observation_batch_day1__2026-07-06,"sentiment,unknown"
vibe_trading,AAPL,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,GLD,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,JNJ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,JPM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,MSFT,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,NVDA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,QQQ,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,SPY,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,TSLA,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
vibe_trading,XOM,2026-07-06,observation_batch_day1__2026-07-06,"earnings,momentum,unknown"
alphagen,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"earnings,factor,liquidity,technical"
alphagen,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"earnings,factor,liquidity"
atlas,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical,unknown"
atlas,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical,unknown"
deepalpha,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,QQQ,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,factor
deepalpha,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,QQQ,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical"
deepalpha,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,liquidity"
qlib,GLD,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,technical,unknown"
qlib,JPM,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
qlib,NVDA,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
qlib,QQQ,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
qlib,SPY,2026-05-15,observation_batch_day1_historical_extension__2026-05-15,"factor,unknown"
alphagen,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"earnings,factor,liquidity,technical"
alphagen,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"earnings,factor,liquidity"
atlas,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical,unknown"
atlas,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical,unknown"
deepalpha,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,QQQ,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,factor
deepalpha,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,QQQ,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
deepalpha,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical"
qlib,GLD,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,technical,unknown"
qlib,JPM,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
qlib,NVDA,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
qlib,QQQ,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
qlib,SPY,2026-05-21,observation_batch_day1_historical_extension__2026-05-21,"factor,unknown"
alphagen,NVDA,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"earnings,factor,liquidity,technical"
alphagen,SPY,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"earnings,factor,liquidity,technical"
atlas,GLD,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical,unknown"
atlas,JPM,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical,unknown"
deepalpha,GLD,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,factor
deepalpha,JPM,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,factor
deepalpha,NVDA,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,factor
deepalpha,QQQ,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,factor
deepalpha,SPY,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,factor
deepalpha,GLD,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical"
deepalpha,JPM,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical"
deepalpha,NVDA,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical"
deepalpha,QQQ,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical"
deepalpha,SPY,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,technical"
qlib,GLD,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,unknown"
qlib,JPM,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,unknown"
qlib,NVDA,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,unknown"
qlib,QQQ,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,unknown"
qlib,SPY,2026-05-27,observation_batch_day1_historical_extension__2026-05-27,"factor,unknown"
alphagen,NVDA,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"earnings,factor,technical"
atlas,GLD,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical,unknown"
atlas,JPM,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical,unknown"
deepalpha,GLD,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,factor
deepalpha,JPM,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,factor
deepalpha,NVDA,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,factor
deepalpha,QQQ,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,factor
deepalpha,SPY,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,factor
deepalpha,GLD,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical"
deepalpha,JPM,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical"
deepalpha,NVDA,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical"
deepalpha,QQQ,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical"
deepalpha,SPY,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,technical"
qlib,GLD,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,unknown"
qlib,JPM,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,unknown"
qlib,NVDA,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,unknown"
qlib,QQQ,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,unknown"
qlib,SPY,2026-06-02,observation_batch_day1_historical_extension__2026-06-02,"factor,unknown"
alphagen,NVDA,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"earnings,factor,liquidity,technical"
alphagen,SPY,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"earnings,factor,liquidity,technical"
atlas,GLD,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical,unknown"
atlas,JPM,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical,unknown"
deepalpha,GLD,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,factor
deepalpha,JPM,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,factor
deepalpha,NVDA,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,factor
deepalpha,QQQ,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,factor
deepalpha,SPY,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,factor
deepalpha,GLD,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical"
deepalpha,JPM,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical"
deepalpha,NVDA,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical"
deepalpha,QQQ,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical"
deepalpha,SPY,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,technical"
qlib,GLD,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,unknown"
qlib,JPM,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,unknown"
qlib,NVDA,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,unknown"
qlib,QQQ,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,unknown"
qlib,SPY,2026-06-08,observation_batch_day1_historical_extension__2026-06-08,"factor,unknown"
